rad_haplotyper -v SNP_20231004_n540_basic.recode.vcf -r reference.fasta -p popmap_n540_OTU -x 16 -o haps_20231004_n540_OTU.vcf --genepop haps_20231004_n540_OTU.gp
Locus	Sites	Haplotypes	Inds_Haplotyped	Total_Inds	Prop_Haplotyped	Status	Poss_Paralog	Low_Cov/Geno_Err	Miss_Geno	Comment
dDocent_Contig_10212	3	5	318	540	0.589	FILTERED	183	3	36	Missing data
dDocent_Contig_10214	1	2	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_10216	6	5	488	540	0.904	PASSED	4	6	42	
dDocent_Contig_10218	1	2	511	540	0.946	PASSED	0	0	29	
dDocent_Contig_10219	1	2	532	540	0.985	PASSED	0	0	8	
dDocent_Contig_10220	2	4	492	540	0.911	PASSED	2	4	42	
dDocent_Contig_10223	4	5	539	540	0.998	PASSED	0	1	0	
dDocent_Contig_10225	1	2	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_10227	3	5	529	540	0.980	PASSED	0	1	10	
dDocent_Contig_10228	5	8	536	540	0.993	PASSED	0	0	4	
dDocent_Contig_10229	2	3	509	540	0.943	PASSED	0	0	31	
dDocent_Contig_10230	1	2	535	540	0.991	PASSED	0	0	5	
dDocent_Contig_10232	3	5	518	540	0.959	PASSED	0	0	22	
dDocent_Contig_10237	3	4	486	540	0.900	PASSED	52	0	2	
dDocent_Contig_10239	3	4	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_10244	2	4	531	540	0.983	PASSED	3	0	6	
dDocent_Contig_10245	1	2	526	540	0.974	PASSED	0	0	14	
dDocent_Contig_10250	1	2	539	540	0.998	PASSED	0	0	1	
dDocent_Contig_10254	2	4	519	540	0.961	PASSED	0	0	21	
dDocent_Contig_10261	4	5	501	540	0.928	PASSED	0	0	39	
dDocent_Contig_10263	4	4	529	540	0.980	PASSED	9	0	2	
dDocent_Contig_10265	4	6	504	540	0.933	PASSED	0	1	35	
dDocent_Contig_10266	2	3	538	540	0.996	PASSED	0	0	2	
dDocent_Contig_10267	3	3	538	540	0.996	PASSED	0	0	2	
dDocent_Contig_10268	3	3	535	540	0.991	PASSED	0	5	0	
dDocent_Contig_10271	6	5	489	540	0.906	PASSED	1	38	12	
dDocent_Contig_10273	3	5	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_10275	1	2	477	540	0.883	FILTERED	0	0	63	Missing data
dDocent_Contig_10280	5	7	526	540	0.974	PASSED	0	12	2	
dDocent_Contig_10282	2	3	531	540	0.983	PASSED	1	0	8	
dDocent_Contig_10287	2	4	538	540	0.996	PASSED	1	0	1	
dDocent_Contig_10288	2	3	538	540	0.996	PASSED	0	0	2	
dDocent_Contig_10289	1	2	530	540	0.981	PASSED	0	0	10	
dDocent_Contig_10291	3	6	538	540	0.996	PASSED	0	0	2	
dDocent_Contig_10297	9	9	486	540	0.900	PASSED	1	2	51	
dDocent_Contig_10298	8	13	418	540	0.774	FILTERED	0	81	41	Missing data
dDocent_Contig_10299	2	3	493	540	0.913	PASSED	17	2	28	
dDocent_Contig_10301	5	7	457	540	0.846	FILTERED	76	4	3	Missing data
dDocent_Contig_10303	7	10	511	540	0.946	PASSED	3	5	21	
dDocent_Contig_10306	2	3	533	540	0.987	PASSED	2	1	4	
dDocent_Contig_10309	2	3	492	540	0.911	PASSED	1	0	47	
dDocent_Contig_10311	3	4	461	540	0.854	FILTERED	2	2	75	Missing data
dDocent_Contig_10316	2	3	537	540	0.994	PASSED	0	0	3	
dDocent_Contig_10319	4	4	513	540	0.950	PASSED	0	1	26	
dDocent_Contig_10324	1	2	491	540	0.909	PASSED	0	0	49	
dDocent_Contig_10325	4	6	126	540	0.233	FILTERED	4	348	62	Missing data
dDocent_Contig_10326	5	8	488	540	0.904	PASSED	26	24	2	
dDocent_Contig_10330	3	4	492	540	0.911	PASSED	0	30	18	
dDocent_Contig_10331	5	5	432	540	0.800	FILTERED	40	3	65	Missing data
dDocent_Contig_10334	1	2	531	540	0.983	PASSED	0	0	9	
dDocent_Contig_10335	4	4	461	540	0.854	FILTERED	3	0	76	Missing data
dDocent_Contig_10336	7	5	498	540	0.922	PASSED	2	8	32	
dDocent_Contig_10337	5	7	456	540	0.844	FILTERED	38	0	46	Missing data
dDocent_Contig_10339	2	3	513	540	0.950	PASSED	1	0	26	
dDocent_Contig_10341	6	5	513	540	0.950	PASSED	1	2	24	
dDocent_Contig_10343	2	3	529	540	0.980	PASSED	0	11	0	
dDocent_Contig_10345	2	3	533	540	0.987	PASSED	0	3	4	
dDocent_Contig_10346	1	2	539	540	0.998	PASSED	0	0	1	
dDocent_Contig_10347	4	5	528	540	0.978	PASSED	0	11	1	
dDocent_Contig_10348	6	6	530	540	0.981	PASSED	5	5	0	
dDocent_Contig_10353	2	3	538	540	0.996	PASSED	2	0	0	
dDocent_Contig_10354	1	2	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_10356	3	3	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_10357	1	2	493	540	0.913	PASSED	0	0	47	
dDocent_Contig_10359	2	3	489	540	0.906	PASSED	1	0	50	
dDocent_Contig_10364	1	2	507	540	0.939	PASSED	0	0	33	
dDocent_Contig_10369	1	2	523	540	0.969	PASSED	0	0	17	
dDocent_Contig_1037	1	2	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_10373	7	7	515	540	0.954	PASSED	0	0	25	
dDocent_Contig_10374	1	2	539	540	0.998	PASSED	0	0	1	
dDocent_Contig_1038	2	3	536	540	0.993	PASSED	3	1	0	
dDocent_Contig_10382	2	3	538	540	0.996	PASSED	0	0	2	
dDocent_Contig_10384	2	2	461	540	0.854	FILTERED	0	0	79	Missing data
dDocent_Contig_10386	6	6	538	540	0.996	PASSED	1	0	1	
dDocent_Contig_10388	8	6	497	540	0.920	PASSED	1	4	38	
dDocent_Contig_10392	4	8	536	540	0.993	PASSED	1	1	2	
dDocent_Contig_10393	2	3	518	540	0.959	PASSED	17	4	1	
dDocent_Contig_10396	2	3	472	540	0.874	FILTERED	0	0	68	Missing data
dDocent_Contig_10397	9	8	507	540	0.939	PASSED	32	0	1	
dDocent_Contig_1040	1	2	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_10402	2	3	521	540	0.965	PASSED	0	0	19	
dDocent_Contig_10404	8	6	527	540	0.976	PASSED	4	8	1	
dDocent_Contig_10405	1	2	513	540	0.950	PASSED	0	0	27	
dDocent_Contig_10409	2	3	530	540	0.981	PASSED	1	2	7	
dDocent_Contig_10412	1	2	507	540	0.939	PASSED	0	0	33	
dDocent_Contig_10413	1	2	458	540	0.848	FILTERED	0	0	82	Missing data
dDocent_Contig_10414	6	7	535	540	0.991	PASSED	4	0	1	
dDocent_Contig_10415	4	5	491	540	0.909	PASSED	0	0	49	
dDocent_Contig_10416	4	6	517	540	0.957	PASSED	1	17	5	
dDocent_Contig_10420	4	5	532	540	0.985	PASSED	0	4	4	
dDocent_Contig_10422	4	7	219	540	0.406	FILTERED	2	285	34	Missing data
dDocent_Contig_10423	1	2	479	540	0.887	FILTERED	0	0	61	Missing data
dDocent_Contig_10425	1	2	527	540	0.976	PASSED	0	0	13	
dDocent_Contig_10426	2	4	466	540	0.863	FILTERED	0	0	74	Missing data
dDocent_Contig_10428	4	6	506	540	0.937	PASSED	1	26	7	
dDocent_Contig_10429	4	5	523	540	0.969	PASSED	0	0	17	
dDocent_Contig_10433	2	3	506	540	0.937	PASSED	0	1	33	
dDocent_Contig_10436	1	2	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_10437	2	4	536	540	0.993	PASSED	0	0	4	
dDocent_Contig_10438	2	2	514	540	0.952	PASSED	6	2	18	
dDocent_Contig_10440	2	4	499	540	0.924	PASSED	0	0	41	
dDocent_Contig_10441	2	4	489	540	0.906	PASSED	35	2	14	
dDocent_Contig_10445	1	2	500	540	0.926	PASSED	0	0	40	
dDocent_Contig_10446	2	3	483	540	0.894	FILTERED	0	0	57	Missing data
dDocent_Contig_10448	1	2	533	540	0.987	PASSED	0	0	7	
dDocent_Contig_10454	2	4	539	540	0.998	PASSED	0	0	1	
dDocent_Contig_10455	3	6	537	540	0.994	PASSED	0	1	2	
dDocent_Contig_10456	2	4	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_10457	1	2	539	540	0.998	PASSED	0	0	1	
dDocent_Contig_10459	3	3	511	540	0.946	PASSED	0	0	29	
dDocent_Contig_10466	1	2	514	540	0.952	PASSED	0	0	26	
dDocent_Contig_1047	4	5	536	540	0.993	PASSED	0	3	1	
dDocent_Contig_10473	2	3	530	540	0.981	PASSED	0	0	10	
dDocent_Contig_10474	1	2	476	540	0.881	FILTERED	0	0	64	Missing data
dDocent_Contig_10476	4	5	535	540	0.991	PASSED	2	0	3	
dDocent_Contig_10477	2	3	536	540	0.993	PASSED	2	0	2	
dDocent_Contig_1048	4	4	503	540	0.931	PASSED	37	0	0	
dDocent_Contig_10481	1	2	510	540	0.944	PASSED	0	0	30	
dDocent_Contig_10483	2	3	536	540	0.993	PASSED	2	0	2	
dDocent_Contig_10485	6	11	470	540	0.870	FILTERED	0	68	2	Missing data
dDocent_Contig_10488	4	4	401	540	0.743	FILTERED	6	75	58	Missing data
dDocent_Contig_10489	5	8	510	540	0.944	PASSED	0	0	30	
dDocent_Contig_1049	1	2	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_10492	3	6	521	540	0.965	PASSED	10	1	8	
dDocent_Contig_10493	5	9	538	540	0.996	PASSED	1	0	1	
dDocent_Contig_10495	1	2	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_10496	1	2	509	540	0.943	PASSED	0	0	31	
dDocent_Contig_10497	4	5	515	540	0.954	PASSED	0	0	25	
dDocent_Contig_10502	4	7	536	540	0.993	PASSED	0	3	1	
dDocent_Contig_10503	1	2	526	540	0.974	PASSED	0	0	14	
dDocent_Contig_10505	3	3	469	540	0.869	FILTERED	0	1	70	Missing data
dDocent_Contig_10511	1	2	532	540	0.985	PASSED	0	0	8	
dDocent_Contig_10512	5	8	517	540	0.957	PASSED	6	16	1	
dDocent_Contig_10513	3	5	528	540	0.978	PASSED	1	2	9	
dDocent_Contig_10514	1	2	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_10516	4	7	520	540	0.963	PASSED	1	0	19	
dDocent_Contig_10517	5	12	518	540	0.959	PASSED	0	2	20	
dDocent_Contig_10520	5	8	528	540	0.978	PASSED	0	7	5	
dDocent_Contig_10524	1	2	478	540	0.885	FILTERED	0	0	62	Missing data
dDocent_Contig_10525	4	4	536	540	0.993	PASSED	1	0	3	
dDocent_Contig_10528	9	12	474	540	0.878	FILTERED	2	51	13	Missing data
dDocent_Contig_10529	4	7	477	540	0.883	FILTERED	5	1	57	Missing data
dDocent_Contig_10536	3	6	528	540	0.978	PASSED	0	0	12	
dDocent_Contig_10537	1	2	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_10538	3	4	499	540	0.924	PASSED	0	0	41	
dDocent_Contig_10541	4	11	527	540	0.976	PASSED	1	1	11	
dDocent_Contig_10542	3	4	525	540	0.972	PASSED	2	1	12	
dDocent_Contig_10545	3	4	519	540	0.961	PASSED	1	1	19	
dDocent_Contig_10555	1	2	513	540	0.950	PASSED	0	0	27	
dDocent_Contig_10560	4	6	513	540	0.950	PASSED	1	1	25	
dDocent_Contig_10561	6	7	538	540	0.996	PASSED	0	1	1	
dDocent_Contig_10564	1	2	497	540	0.920	PASSED	0	0	43	
dDocent_Contig_10565	4	5	509	540	0.943	PASSED	1	0	30	
dDocent_Contig_10567	2	2	503	540	0.931	PASSED	0	0	37	
dDocent_Contig_10569	1	2	539	540	0.998	PASSED	0	0	1	
dDocent_Contig_10570	2	3	478	540	0.885	FILTERED	0	0	62	Missing data
dDocent_Contig_10575	1	2	495	540	0.917	PASSED	0	0	45	
dDocent_Contig_10577	1	2	459	540	0.850	FILTERED	0	0	81	Missing data
dDocent_Contig_10578	3	3	504	540	0.933	PASSED	0	0	36	
dDocent_Contig_10579	3	4	481	540	0.891	FILTERED	0	0	59	Missing data
dDocent_Contig_10585	0	0	0	540	0.000	FILTERED	0	502	38	Missing data
dDocent_Contig_10587	2	3	501	540	0.928	PASSED	0	2	37	
dDocent_Contig_10588	1	2	531	540	0.983	PASSED	0	0	9	
dDocent_Contig_10598	3	4	475	540	0.880	FILTERED	0	35	30	Missing data
dDocent_Contig_10599	3	4	536	540	0.993	PASSED	2	1	1	
dDocent_Contig_10601	4	6	484	540	0.896	FILTERED	3	1	52	Missing data
dDocent_Contig_10603	4	5	469	540	0.869	FILTERED	51	1	19	Missing data
dDocent_Contig_10607	1	2	468	540	0.867	FILTERED	0	0	72	Missing data
dDocent_Contig_10608	3	4	485	540	0.898	FILTERED	0	55	0	Missing data
dDocent_Contig_10615	2	3	530	540	0.981	PASSED	0	0	10	
dDocent_Contig_1062	6	1	15	540	0.028	FILTERED	0	525	0	Missing data
dDocent_Contig_10620	2	2	506	540	0.937	PASSED	0	0	34	
dDocent_Contig_10622	4	3	499	540	0.924	PASSED	2	8	31	
dDocent_Contig_10627	1	2	526	540	0.974	PASSED	0	0	14	
dDocent_Contig_10633	3	5	480	540	0.889	FILTERED	0	0	60	Missing data
dDocent_Contig_10634	3	4	536	540	0.993	PASSED	1	0	3	
dDocent_Contig_10635	4	4	442	540	0.819	FILTERED	10	43	45	Missing data
dDocent_Contig_10637	4	6	525	540	0.972	PASSED	2	1	12	
dDocent_Contig_10647	9	7	446	540	0.826	FILTERED	83	3	8	Missing data
dDocent_Contig_10648	1	2	531	540	0.983	PASSED	0	0	9	
dDocent_Contig_10651	1	2	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_10652	2	3	537	540	0.994	PASSED	0	1	2	
dDocent_Contig_10655	4	5	441	540	0.817	FILTERED	1	25	73	Missing data
dDocent_Contig_10656	2	3	537	540	0.994	PASSED	0	0	3	
dDocent_Contig_10664	6	12	446	540	0.826	FILTERED	5	8	81	Missing data
dDocent_Contig_10666	4	5	531	540	0.983	PASSED	0	1	8	
dDocent_Contig_10668	9	20	481	540	0.891	FILTERED	3	33	23	Missing data
dDocent_Contig_10675	2	3	538	540	0.996	PASSED	0	0	2	
dDocent_Contig_10678	6	5	532	540	0.985	PASSED	3	4	1	
dDocent_Contig_10680	3	3	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_10683	1	2	538	540	0.996	PASSED	0	0	2	
dDocent_Contig_10687	7	9	527	540	0.976	PASSED	2	2	9	
dDocent_Contig_10689	1	2	501	540	0.928	PASSED	0	0	39	
dDocent_Contig_10691	4	4	521	540	0.965	PASSED	0	2	17	
dDocent_Contig_10693	3	7	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_10694	5	7	405	540	0.750	FILTERED	7	48	80	Missing data
dDocent_Contig_10696	7	8	435	540	0.806	FILTERED	104	1	0	Missing data
dDocent_Contig_10699	9	9	297	540	0.550	FILTERED	237	6	0	Missing data
dDocent_Contig_10700	1	2	480	540	0.889	FILTERED	0	0	60	Missing data
dDocent_Contig_10705	2	4	497	540	0.920	PASSED	0	2	41	
dDocent_Contig_10708	3	7	459	540	0.850	FILTERED	0	3	78	Missing data
dDocent_Contig_10709	4	8	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_10714	6	15	537	540	0.994	PASSED	1	2	0	
dDocent_Contig_10719	5	10	532	540	0.985	PASSED	8	0	0	
dDocent_Contig_10726	2	3	539	540	0.998	PASSED	0	0	1	
dDocent_Contig_10732	8	5	498	540	0.922	PASSED	1	1	40	
dDocent_Contig_10733	2	3	539	540	0.998	PASSED	1	0	0	
dDocent_Contig_10734	5	6	513	540	0.950	PASSED	8	1	18	
dDocent_Contig_1074	3	2	539	540	0.998	PASSED	1	0	0	
dDocent_Contig_10740	1	2	537	540	0.994	PASSED	0	0	3	
dDocent_Contig_10741	3	5	443	540	0.820	FILTERED	0	32	65	Missing data
dDocent_Contig_10747	2	3	507	540	0.939	PASSED	0	0	33	
dDocent_Contig_10756	4	7	497	540	0.920	PASSED	0	13	30	
dDocent_Contig_10759	4	9	529	540	0.980	PASSED	9	0	2	
dDocent_Contig_1076	1	2	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_10761	1	2	470	540	0.870	FILTERED	0	0	70	Missing data
dDocent_Contig_10762	7	9	530	540	0.981	PASSED	1	3	6	
dDocent_Contig_10763	1	2	475	540	0.880	FILTERED	0	0	65	Missing data
dDocent_Contig_10764	3	4	528	540	0.978	PASSED	3	1	8	
dDocent_Contig_10766	8	6	380	540	0.704	FILTERED	108	1	51	Missing data
dDocent_Contig_10767	2	3	466	540	0.863	FILTERED	0	2	72	Missing data
dDocent_Contig_10769	2	4	502	540	0.930	PASSED	0	0	38	
dDocent_Contig_10777	1	2	535	540	0.991	PASSED	0	0	5	
dDocent_Contig_10782	2	3	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_10783	6	7	346	540	0.641	FILTERED	106	71	17	Missing data
dDocent_Contig_10787	2	3	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_10793	2	3	528	540	0.978	PASSED	0	1	11	
dDocent_Contig_10796	1	2	534	540	0.989	PASSED	0	0	6	
dDocent_Contig_10797	3	3	517	540	0.957	PASSED	20	1	2	
dDocent_Contig_10798	1	2	468	540	0.867	FILTERED	0	0	72	Missing data
dDocent_Contig_1080	1	2	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_10802	3	4	513	540	0.950	PASSED	5	0	22	
dDocent_Contig_10805	2	2	506	540	0.937	PASSED	1	0	33	
dDocent_Contig_10807	1	2	536	540	0.993	PASSED	0	0	4	
dDocent_Contig_10808	3	4	510	540	0.944	PASSED	2	4	24	
dDocent_Contig_10809	2	3	459	540	0.850	FILTERED	1	0	80	Missing data
dDocent_Contig_10812	3	3	534	540	0.989	PASSED	0	0	6	
dDocent_Contig_10814	9	9	421	540	0.780	FILTERED	61	58	0	Missing data
dDocent_Contig_10815	1	2	530	540	0.981	PASSED	0	0	10	
dDocent_Contig_10816	7	7	521	540	0.965	PASSED	1	14	4	
dDocent_Contig_10817	2	3	533	540	0.987	PASSED	0	5	2	
dDocent_Contig_10819	3	5	503	540	0.931	PASSED	2	7	28	
dDocent_Contig_10826	3	5	522	540	0.967	PASSED	0	0	18	
dDocent_Contig_10838	2	3	539	540	0.998	PASSED	0	0	1	
dDocent_Contig_10841	1	2	497	540	0.920	PASSED	0	0	43	
dDocent_Contig_10844	9	5	475	540	0.880	FILTERED	4	0	61	Missing data
dDocent_Contig_10846	1	2	499	540	0.924	PASSED	0	0	41	
dDocent_Contig_10859	1	2	528	540	0.978	PASSED	0	0	12	
dDocent_Contig_10862	3	5	524	540	0.970	PASSED	0	2	14	
dDocent_Contig_10867	1	2	539	540	0.998	PASSED	0	0	1	
dDocent_Contig_10868	4	6	503	540	0.931	PASSED	1	1	35	
dDocent_Contig_10871	2	3	466	540	0.863	FILTERED	12	0	62	Missing data
dDocent_Contig_10873	4	6	539	540	0.998	PASSED	1	0	0	
dDocent_Contig_10875	2	2	496	540	0.919	PASSED	0	0	44	
dDocent_Contig_10877	2	3	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_10878	2	3	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_10881	4	7	489	540	0.906	PASSED	0	16	35	
dDocent_Contig_10883	3	6	475	540	0.880	FILTERED	1	18	46	Missing data
dDocent_Contig_10885	1	2	471	540	0.872	FILTERED	0	0	69	Missing data
dDocent_Contig_10887	11	4	521	540	0.965	PASSED	16	0	3	
dDocent_Contig_10895	1	2	536	540	0.993	PASSED	0	0	4	
dDocent_Contig_1090	1	2	527	540	0.976	PASSED	0	0	13	
dDocent_Contig_10904	8	12	483	540	0.894	FILTERED	2	2	53	Missing data
dDocent_Contig_10907	3	4	538	540	0.996	PASSED	2	0	0	
dDocent_Contig_10909	1	2	530	540	0.981	PASSED	0	0	10	
dDocent_Contig_10910	3	5	321	540	0.594	FILTERED	0	155	64	Missing data
dDocent_Contig_10911	3	4	466	540	0.863	FILTERED	0	0	74	Missing data
dDocent_Contig_10913	4	4	529	540	0.980	PASSED	8	2	1	
dDocent_Contig_10915	5	4	538	540	0.996	PASSED	0	2	0	
dDocent_Contig_10925	1	2	492	540	0.911	PASSED	0	0	48	
dDocent_Contig_10926	2	3	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_10929	1	2	538	540	0.996	PASSED	0	0	2	
dDocent_Contig_10931	4	6	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_10936	1	2	533	540	0.987	PASSED	0	0	7	
dDocent_Contig_10937	5	5	535	540	0.991	PASSED	4	0	1	
dDocent_Contig_10938	1	2	538	540	0.996	PASSED	0	0	2	
dDocent_Contig_10942	1	2	538	540	0.996	PASSED	0	0	2	
dDocent_Contig_10943	4	5	535	540	0.991	PASSED	0	0	5	
dDocent_Contig_10951	3	2	435	540	0.806	FILTERED	0	39	66	Missing data
dDocent_Contig_10952	2	3	529	540	0.980	PASSED	1	2	8	
dDocent_Contig_10954	5	6	517	540	0.957	PASSED	0	0	23	
dDocent_Contig_10957	3	4	474	540	0.878	FILTERED	40	2	24	Missing data
dDocent_Contig_10963	3	3	505	540	0.935	PASSED	0	8	27	
dDocent_Contig_10965	1	2	502	540	0.930	PASSED	0	0	38	
dDocent_Contig_10967	4	4	511	540	0.946	PASSED	2	0	27	
dDocent_Contig_10971	14	16	348	540	0.644	FILTERED	20	145	27	Missing data
dDocent_Contig_10972	3	6	538	540	0.996	PASSED	1	1	0	
dDocent_Contig_10976	1	2	539	540	0.998	PASSED	0	0	1	
dDocent_Contig_10977	1	2	522	540	0.967	PASSED	0	0	18	
dDocent_Contig_10978	9	11	513	540	0.950	PASSED	8	11	8	
dDocent_Contig_10982	3	4	525	540	0.972	PASSED	0	2	13	
dDocent_Contig_10985	3	3	490	540	0.907	PASSED	0	0	50	
dDocent_Contig_10987	2	3	505	540	0.935	PASSED	8	0	27	
dDocent_Contig_10988	2	3	536	540	0.993	PASSED	1	0	3	
dDocent_Contig_10991	2	4	539	540	0.998	PASSED	0	1	0	
dDocent_Contig_10992	1	2	523	540	0.969	PASSED	0	0	17	
dDocent_Contig_10994	1	2	493	540	0.913	PASSED	0	0	47	
dDocent_Contig_10996	5	5	495	540	0.917	PASSED	42	1	2	
